,Country,slope
0,Burundi,-0.03531331112998951
1,China,-0.5684728294815742
2,Germany,-4.6397515527950315
3,India,-0.07198088618592528
4,Japan,-4.119305856832973
5,Madagascar,-0.0684056165973782
6,Mozambique,-0.032693133691566824
7,Somalia,-0.04714976664855077
8,South Sudan,-0.020162279039700408
9,United States,2.4017595307917894
